2021-07-07,2021-07-14,2021-07-14,2021-07-21,2021-07-28,2021-07-28,2021-07-28,2021-08-04,2021-08-11,2021-08-11,2021-08-18,2021-09-01,2021-09-15,2021-09-15,2021-09-15,2021-09-15,2021-09-29,2021-10-13,2021-10-20,2021-11-03,2021-11-10,2021-11-17,2021-11-24,2021-11-24,2021-11-24,2021-12-15,2021-12-22,2021-12-22
블랙 위도우,랑종,이스케이프 룸 2: 노 웨이 아웃,보스 베이비 2,모가디슈,정글 크루즈,방법: 재차의,더 수어사이드 스쿼드,싱크홀,프리 가이,인질,샹치와 텐 링즈의 전설,보이스,기적,"극장판 포켓몬스터: 정글의 아이, 코코",극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,007 노 타임 투 다이,베놈 2: 렛 데어 비 카니지,듄,이터널스,강릉,장르만 로맨스,유체이탈자,엔칸토: 마법의 세계,연애 빠진 로맨스,스파이더맨: 노 웨이 홈,킹스맨: 퍼스트 에이전트,매트릭스: 리저렉션
"29,996,075,620","8,639,576,030","2,219,351,090","8,292,677,050","34,558,280,730","2,307,504,720","1,556,061,010","4,403,922,930","21,395,652,690","3,135,627,670","15,585,230,870","17,715,124,720","14,025,546,720","6,634,949,710","1,941,940,320","1,896,872,490","12,009,884,680","21,115,762,990","16,903,293,110","31,729,314,450","3,172,047,770","5,192,955,940","7,899,580,790","5,882,752,180","6,120,461,000","55,697,413,760","6,154,017,260","1,923,032,630"
5.1%,1.5%,0.4%,1.4%,5.9%,0.4%,0.3%,0.8%,3.7%,0.5%,2.7%,3.0%,2.4%,1.1%,0.3%,0.3%,2.1%,3.6%,2.9%,5.4%,0.5%,0.9%,1.4%,1.0%,1.0%,9.5%,1.1%,0.3%
"2,962,088","834,338","223,313","925,237","3,613,981","251,071","175,578","419,796","2,195,683","313,728","1,638,437","1,740,871","1,426,357","715,877","213,913","199,726","1,229,971","2,123,573","1,549,346","3,050,136","306,422","518,441","811,169","620,095","603,015","5,560,940","622,461","191,280"
"2,528","1,403",728,"1,343","1,688",831,838,"1,066","1,603",750,"1,294","1,784","1,296","1,198",699,593,"2,201","1,998","1,576","2,648",761,"1,194","1,216","1,102",967,"2,948","1,061",970
"155,016","51,793","19,842","58,566","210,740","20,933","19,136","29,298","121,841","23,641","110,424","117,475","118,227","78,592","14,044","13,880","98,167","151,687","103,745","162,435","28,494","49,322","83,847","52,164","66,729","144,754","26,294","15,414"
미국,한국,미국,미국,한국,미국,한국,미국,한국,미국,한국,미국,한국,한국,일본,일본,미국,미국,미국,미국,한국,한국,한국,미국,한국,미국,미국,미국
미국,한국,미국,미국,한국,미국,한국,미국,한국,미국,한국,미국,한국,한국,일본,일본,미국,미국,미국,미국,한국,한국,한국,미국,한국,미국,미국,미국
월트디즈니컴퍼니코리아 유한책임회사,(주)쇼박스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,유니버설픽쳐스인터내셔널 코리아(유),롯데컬처웍스(주)롯데엔터테인먼트,월트디즈니컴퍼니코리아 유한책임회사,(주)씨제이이엔엠,워너브러더스 코리아(주),(주)쇼박스,월트디즈니컴퍼니코리아 유한책임회사,(주)넥스트엔터테인먼트월드(NEW),월트디즈니컴퍼니코리아 유한책임회사,(주)씨제이이엔엠,롯데컬처웍스(주)롯데엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),(주)씨제이이엔엠,유니버설픽쳐스인터내셔널 코리아(유),소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,워너브러더스 코리아(주),월트디즈니컴퍼니코리아 유한책임회사,"(주)스튜디오 산타클로스엔터테인먼트,(주)아센디오,(주)제이앤씨미디어그룹",(주)넥스트엔터테인먼트월드(NEW),"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠",월트디즈니컴퍼니코리아 유한책임회사,(주)씨제이이엔엠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,월트디즈니컴퍼니코리아 유한책임회사,워너브러더스 코리아(주)
